Nombre: OR
Tasa de aprendizaje: 0.5
Tasa de variación: 0.2
Épocas: 773
Capa oculta: 5

Épocas	Error
0	0.38319088941073676
1	0.368321171841064
2	0.35955036923712436
3	0.35436629866921654
4	0.3511359961114846
5	0.34899954796343646
6	0.3474957486757296
7	0.3463676476044368
8	0.34546706315669795
9	0.34470606584489005
10	0.3440312661659782
11	0.34340965162145076
12	0.34282051873254926
13	0.34225074315889203
14	0.3416919386413388
15	0.34113871550296754
16	0.3405875951496418
17	0.34003632426200464
18	0.33948343689996596
19	0.33892797269296404
20	0.33836929451676817
21	0.3378069702078755
22	0.33724069580959165
23	0.3366702458983165
24	0.33609544162443444
25	0.3355161303540693
26	0.33493217289928123
27	0.3343434356940451
28	0.33374978617252027
29	0.3331510901995314
30	0.3325472107962875
31	0.3319380076653475
32	0.3313233371922062
33	0.3307030527159388
34	0.33007700493745246
35	0.329445042384034
36	0.3288070118816161
37	0.32816275900735253
38	0.32751212850854067
39	0.32685496468228986
40	0.3261911117153415
41	0.3255204139862813
42	0.3248427163338279
43	0.324157864295441
44	0.32346570432053623
45	0.32276608396230927
46	0.3220588520517358
47	0.32134385885679595
48	0.3206209562294371
49	0.3198899977422677
50	0.31915083881648837
51	0.31840333684211375
52	0.3176473512911452
53	0.3168827438239931
54	0.3161093783891344
55	0.3153271213157241
56	0.31453584139864355
57	0.3137354099752732
58	0.3129257009931137
59	0.3121065910672503
60	0.3112779595265486
61	0.3104396884474039
62	0.309591662673813
63	0.3087337698225222
64	0.30786590027200944
65	0.30698794713408795
66	0.3060998062069759
67	0.3052013759087493
68	0.3042925571901989
69	0.3033732534262295
70	0.302443370285083
71	0.30150281557481867
72	0.30055149906666945
73	0.2995893322950712
74	0.2986162283343733
75	0.2976321015524473
76	0.2966368673416349
77	0.2956304418277003
78	0.2946127415576855
79	0.2935836831677997
80	0.2925431830327017
81	0.29149115689776417
82	0.29042751949612783
83	0.28935218415257025
84	0.2882650623764159
85	0.2871660634459096
86	0.28605509398665885
87	0.2849320575469172
88	0.28379685417264106
89	0.28264937998539486
90	0.28148952676630684
91	0.28031718154940116
92	0.2791322262277331
93	0.27793453717585015
94	0.2767239848921858
95	0.27550043366506893
96	0.27426374126609704
97	0.2730137586746801
98	0.27175032983762204
99	0.27047329146764676
100	0.26918247288482594
101	0.26787769590490534
102	0.26655877477855583
103	0.2652255161856156
104	0.2638777192884055
105	0.2625151758482216
106	0.2611376704091162
107	0.259744980553073
108	0.25833687723066323
109	0.25691312517123016
110	0.25547348337658266
111	0.254017705702091
112	0.2525455415289416
113	0.2510567365311425
114	0.24955103354064503
115	0.24802817351367357
116	0.24648789660100862
117	0.2449299433245542
118	0.24335405586202088
119	0.24175997944097055
120	0.24014746384277916
121	0.23851626501629142
122	0.23686614680003457
123	0.23519688275084788
124	0.23350825807564984
125	0.231800071661814
126	0.23007213820025327
127	0.2283242903938326
128	0.2265563812421421
129	0.22476828639198138
130	0.22295990654115078
131	0.22113116988132836
132	0.21928203456396608
133	0.21741249117128753
134	0.21552256517265067
135	0.21361231934478808
136	0.21168185613280216
137	0.20973131992730415
138	0.20776089923181904
139	0.20577082869354504
140	0.2037613909698479
141	0.20173291840249866
142	0.19968579447169577
143	0.19762045500238387
144	0.19553738909632268
145	0.1934371397647997
146	0.1913203042388372
147	0.18918753393621682
148	0.18703953406763427
149	0.1848770628677703
150	0.18270093044099797
151	0.18051199721578418
152	0.17831117200652358
153	0.176099409686497
154	0.17387770848078093
155	0.17164710689316415
156	0.16940868028635112
157	0.1671635371398457
158	0.16491281501482266
159	0.1626576762598979
160	0.16039930349593012
161	0.15813889492173144
162	0.1558776594857805
163	0.15361681197165727
164	0.1513575680469247
165	0.14910113932654323
166	0.14684872850262104
167	0.14460152459237532
168	0.14236069835563633
169	0.14012739793208612
170	0.13790274474671993
171	0.13568782972977642
172	0.13348370989462421
173	0.13129140531382072
174	0.12911189652976773
175	0.12694612243203574
176	0.12479497862846119
177	0.12265931633144664
178	0.1205399417744041
179	0.1184376161658488
180	0.11635305618013661
181	0.11428693497413214
182	0.11223988370810811
183	0.11021249353690321
184	0.10820531802391098
185	0.10621887591607895
186	0.10425365420321338
187	0.10231011137016834
188	0.10038868073684315
189	0.09848977376943287
190	0.0966137832383579
191	0.09476108609509183
192	0.09293204594300601
193	0.09112701498739058
194	0.08934633536759135
195	0.08759033979966971
196	0.08585935149030825
197	0.08415368332015459
198	0.08247363633492708
199	0.08081949762230427
200	0.07919153768849871
