Nombre: AND
Tasa de aprendizaje: 0.5
Tasa de variación: 0.2
Épocas: 841
Capa oculta: 5

Épocas	Error
0	1.0583380596353213
1	0.9326000189908797
2	0.7944960797631132
3	0.6677006065892999
4	0.5705463966873342
5	0.5060888467832806
6	0.4664830109633123
7	0.4425261938589036
8	0.42772777058019323
9	0.41823762684060645
10	0.41188213925516104
11	0.40743000052500217
12	0.4041667250935347
13	0.40166499481906814
14	0.39966137660908124
15	0.39798885376602733
16	0.3965388548463131
17	0.39523923324185695
18	0.39404111890127896
19	0.39291085060782244
20	0.3918249004574724
21	0.39076660758874515
22	0.3897240328085962
23	0.38868852331668885
24	0.3876537365556397
25	0.38661496650198984
26	0.3855686726053289
27	0.3845121466380453
28	0.3834432747406308
29	0.3823603660333123
30	0.3812620283256217
31	0.3801470775063311
32	0.3790144712508676
33	0.377863260437274
34	0.376692553556051
35	0.37550149071771627
36	0.3742892247899383
37	0.3730549078561878
38	0.37179768166197164
39	0.37051667105840347
40	0.3692109797040922
41	0.3678796874713745
42	0.3665218491401234
43	0.36513649406467463
44	0.36372262657603444
45	0.3622792269391014
46	0.36080525272795977
47	0.35929964051491026
48	0.35776130779341847
49	0.35618915507354004
50	0.3545820681021274
51	0.35293892017037143
52	0.351258574478904
53	0.34953988653648943
54	0.3477817065728733
55	0.34598288195011445
56	0.3441422595601509
57	0.3422586881998091
58	0.34033102091831935
59	0.3383581173369754
60	0.3363388459461705
61	0.33427208639198147
62	0.3321567317730064
63	0.3299916909785652
64	0.3277758911118904
65	0.3255082800567196
66	0.3231878292628922
67	0.3208135368461603
68	0.3183844311193159
69	0.3158995746956045
70	0.3133580693306648
71	0.31075906169499246
72	0.3081017502938335
73	0.3053853937736098
74	0.3026093208709418
75	0.2997729422688504
76	0.2968757646207482
77	0.2939174069815623
78	0.29089761984126905
79	0.28781630688335036
80	0.2846735494833371
81	0.281469633815674
82	0.278205080247447
83	0.2748806744652079
84	0.27149749951116864
85	0.2680569676089682
86	0.2645608503564764
87	0.261011305581744
88	0.25741089893436747
89	0.25376261815996337
90	0.2500698780231279
91	0.24633651404166648
92	0.24256676359588336
93	0.23876523358320922
94	0.2349368545737202
95	0.23108682232823158
96	0.22722052848158558
97	0.22334348306503055
98	0.21946123223562553
99	0.21557927500505902
100	0.21170298285523198
101	0.20783752587798235
102	0.203987808513919
103	0.20015841716496863
104	0.19635358101937403
105	0.19257714646848398
106	0.1888325646146572
107	0.1851228906482842
108	0.18145079335676648
109	0.17781857273371499
110	0.1742281835685484
111	0.17068126298069264
112	0.16717916007337136
113	0.1637229661718543
114	0.16031354443649454
115	0.15695155796664234
116	0.15363749581210914
117	0.15037169656850646
118	0.14715436944400143
119	0.14398561284676004
120	0.14086543065786675
121	0.13779374642967193
122	0.13477041579132334
123	0.13179523735872858
124	0.1288679624418488
125	0.12598830382355028
126	0.12315594385565311
127	0.12037054208264952
128	0.11763174256420715
129	0.11493918102560392
130	0.11229249192167592
131	0.10969131545532311
132	0.10713530454655049
133	0.10462413170290347
134	0.10215749569764045
135	0.0997351279190936
136	0.09735679821487842
137	0.09502232001995074
138	0.0927315545305234
139	0.09048441366953072
140	0.08828086158688651
141	0.08612091445233239
142	0.08400463833279864
143	0.08193214500142537
144	0.07990358560165028
145	0.07791914218493917
146	0.07597901725033053
147	0.07408342153113576
148	0.07223256039000454
149	0.07042661928795807
150	0.06866574887555316
151	0.06695005030579207
152	0.06527956138191866
153	0.06365424412553271
154	0.06207397428243835
